ts	chain	step	size	seed	init_internal	final_internal	contest_cells	ok
07:51:45	0	0	6	1	63	58	65	OK
07:51:45	0	1	6	42	58	58	66	OK
07:51:45	0	2	6	7777	58	58	69	OK
07:51:45	0	3	6	99	58	58	67	OK
07:51:45	0	4	6	13371337	58	58	67	OK
07:51:45	1	0	6	42	63	58	64	OK
07:51:45	1	1	6	7777	58	58	66	OK
07:51:45	1	2	6	1	58	58	66	OK
07:51:45	1	3	6	2718	58	58	64	OK
07:51:45	1	4	6	31415	58	58	64	OK
07:59:17	3	0	6	13371337	63	58	67	OK
07:59:17	3	1	6	99	58	58	67	OK
07:59:17	3	2	6	1024	58	58	69	OK
07:59:17	3	3	6	7777	58	58	69	OK
07:59:17	3	4	6	42	58	58	69	OK
07:59:19	2	0	6	7777	63	58	66	OK
07:59:19	2	1	6	13371337	58	58	65	OK
07:59:19	2	2	6	42	58	58	65	OK
07:59:19	2	3	6	1024	58	58	67	OK
07:59:19	2	4	6	1	58	58	66	OK
